verdaxis-backend  | WARNING:  Invalid HTTP request received.
verdaxis-backend  | WARNING:  Invalid HTTP request received.
verdaxis-backend  | INFO:     152.32.202.244:40924 - "GET / HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     152.32.202.244:40938 - "GET /favicon.ico HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     152.32.202.244:40954 - "GET /robots.txt HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     152.32.202.244:40956 - "GET /sitemap.xml HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     152.32.202.244:40964 - "GET /config.json HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     152.32.202.244:40976 - "GET /sse HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     152.32.202.244:40990 - "GET /mcp HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     152.32.202.244:46504 - "GET /mcp-sse HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     194.39.246.22:50583 - "OPTIONS /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50582 - "OPTIONS /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50584 - "GET /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50584 - "OPTIONS /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50583 - "OPTIONS /api/notifications HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50586 - "OPTIONS /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50587 - "GET /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50588 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50589 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50590 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50589 - "OPTIONS /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50587 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
